gateway,alpha,run_idx,success,rejected_s0,cascade_failed,effective_gps,p50_ms,p95_ms,jfi_steps,error
ng,,1,24,141,35,29.03,1015.7,1757.4,0.9201,
ng,,2,16,142,42,22.24,1017.4,1616.9,0.9135,
ng,,3,22,142,36,27.8,1017.8,1796.5,0.9257,
plangate_a0.2,0.2,1,33,167,0,58.27,4.0,806.8,0.9285,
plangate_a0.2,0.2,2,29,171,0,60.7,4.8,886.7,0.912,
plangate_a0.2,0.2,3,33,167,0,56.61,4.0,812.8,0.921,
plangate_a0.5,0.5,1,37,163,0,62.62,9.3,1219.8,0.9221,
plangate_a0.5,0.5,2,38,162,0,54.54,9.0,1113.9,0.9223,
plangate_a0.5,0.5,3,39,161,0,61.63,9.6,1289.3,0.9078,
plangate_a0.8,0.8,1,35,164,1,51.62,65.0,1263.2,0.92,
plangate_a0.8,0.8,2,29,171,0,48.45,3.8,807.7,0.9037,
plangate_a0.8,0.8,3,34,166,0,55.06,4.7,806.8,0.8964,
