gateway,run,concurrency,sessions,success,partial,all_rejected,cascade_failed,cascade_steps,abd_total,cascade_admitted_pct,success_sessions_per_s,effective_goodput_s,p95_success_s
envoy_approx,1,20,300,300,0,0,0,0,0.0,0.0,7.221441,70.072044,4.91421
envoy_approx,1,40,300,135,0,35,130,277,49.057,49.057,4.495818,39.663103,8.33694
envoy_approx,1,80,300,46,0,204,50,76,52.083,52.083,5.019655,39.066009,7.09392
envoy_approx,2,20,300,300,0,0,0,0,0.0,0.0,7.227067,70.126644,4.86331
envoy_approx,2,40,300,159,0,37,104,259,39.544,39.544,4.916332,42.731894,9.03869
envoy_approx,2,80,300,43,0,204,53,84,55.208,55.208,4.236252,35.466293,6.92515
envoy_approx,3,20,300,300,0,0,0,0,0.0,0.0,7.243638,70.287431,4.80085
envoy_approx,3,40,300,143,0,49,108,262,43.028,43.028,4.779141,40.438883,8.20476
envoy_approx,3,80,300,38,0,193,69,100,64.486,64.486,4.118856,33.27602,6.78109
kong_approx,1,20,300,299,0,0,1,5,0.333,0.333,7.207467,69.929308,4.8047
kong_approx,1,40,300,153,0,41,106,234,40.927,40.927,5.004048,43.106763,8.55088
kong_approx,1,80,300,34,0,197,69,106,66.99,66.99,3.355065,29.998228,6.2069
kong_approx,2,20,300,299,0,0,1,5,0.333,0.333,7.219254,70.043668,4.78116
kong_approx,2,40,300,145,0,33,122,268,45.693,45.693,4.697395,40.851142,8.30761
kong_approx,2,80,300,34,0,185,81,114,70.435,70.435,3.153548,26.805159,6.15764
kong_approx,3,20,300,299,0,0,1,5,0.333,0.333,7.270071,70.536713,4.82033
kong_approx,3,40,300,146,0,42,112,269,43.411,43.411,4.559538,40.504934,8.83877
kong_approx,3,80,300,42,0,195,63,91,60.0,60.0,4.194405,28.462034,5.51523
ng,1,20,300,300,0,0,0,0,0.0,0.0,7.220038,70.05844,4.93136
ng,1,40,300,158,0,34,108,235,40.602,40.602,4.927542,43.942451,8.32399
ng,1,80,300,35,0,190,75,111,68.182,68.182,3.208213,28.965578,5.97084
ng,2,20,300,281,0,3,16,38,5.387,5.387,5.966327,57.43386,5.87182
ng,2,40,300,155,0,28,117,260,43.015,43.015,4.723604,40.927743,8.64475
ng,2,80,300,35,0,206,59,83,62.766,62.766,3.765656,31.308741,6.38197
ng,3,20,300,300,0,0,0,0,0.0,0.0,7.226718,70.123258,4.79191
ng,3,40,300,163,0,50,87,212,34.8,34.8,5.073471,44.914224,8.81042
ng,3,80,300,36,0,201,63,90,63.636,63.636,3.625413,28.19766,5.80053
plangate_full,1,20,300,35,0,248,17,17,32.692,32.692,6.287877,45.452365,3.07511
plangate_full,1,40,300,34,0,266,0,0,0.0,0.0,6.193145,57.013362,3.49838
plangate_full,1,80,300,36,0,255,9,9,20.0,20.0,5.601359,51.034602,3.10799
plangate_full,2,20,300,37,0,263,0,0,0.0,0.0,6.878764,58.562452,3.5208
plangate_full,2,40,300,36,0,259,5,5,12.195,12.195,6.36555,55.344923,3.3518
plangate_full,2,80,300,32,0,263,5,5,13.514,13.514,5.854655,51.777108,3.3973
plangate_full,3,20,300,40,0,256,4,4,9.091,9.091,6.908286,59.065848,3.70574
plangate_full,3,40,300,35,0,251,14,14,28.571,28.571,6.234265,54.861533,3.43099
plangate_full,3,80,300,33,0,258,9,9,21.429,21.429,6.177688,52.603952,3.94209
sbac,1,20,300,76,0,224,0,0,0.0,0.0,6.328754,63.953724,4.65242
sbac,1,40,300,40,0,247,13,27,24.528,24.528,5.418515,59.739123,7.06999
sbac,1,80,300,43,0,246,11,17,20.37,20.37,6.493583,62.368599,6.50157
sbac,2,20,300,76,0,223,1,5,1.299,1.299,6.344557,63.028169,4.8092
sbac,2,40,300,41,0,246,13,21,24.074,24.074,4.56139,50.954065,7.27401
sbac,2,80,300,47,0,240,13,19,21.667,21.667,6.278137,58.106163,6.03617
sbac,3,20,300,76,0,224,0,0,0.0,0.0,6.351195,64.180496,4.89597
sbac,3,40,300,41,0,247,12,21,22.642,22.642,5.833403,59.329981,6.64744
sbac,3,80,300,44,0,246,10,12,18.519,18.519,5.929033,61.04209,6.39523
srl,1,20,300,300,0,0,0,0,0.0,0.0,7.212163,69.982019,4.90638
srl,1,40,300,37,0,238,25,52,40.323,40.323,5.089062,49.790283,4.08014
srl,1,80,300,45,0,235,20,54,30.769,30.769,5.432514,47.806122,4.00062
srl,2,20,300,297,0,1,2,7,0.669,0.669,7.206809,69.859946,4.78336
srl,2,40,300,44,0,233,23,47,34.328,34.328,5.967983,48.693316,3.64072
srl,2,80,300,47,0,224,29,63,38.158,38.158,5.523675,44.777025,3.5306
srl,3,20,300,300,0,0,0,0,0.0,0.0,7.195537,69.820689,4.86822
srl,3,40,300,47,0,238,15,41,24.194,24.194,6.19348,48.361858,4.25467
srl,3,80,300,44,0,231,25,49,36.232,36.232,5.849153,46.793223,3.70332
