price_step,run,success,cascade_failed,rejected_s0,success_rate,abd_total,abd_ps,abd_react,goodput
5,1,17,43,140,8.5,71.7,76.0,68.6,18.16
5,2,26,44,130,13.0,62.9,60.0,65.0,27.75
5,3,26,39,135,13.0,60.0,50.0,71.0,26.3
5,4,24,41,135,12.0,63.1,65.5,61.1,25.17
5,5,25,45,130,12.5,64.3,54.8,71.8,29.64
10,1,27,44,129,13.5,62.0,60.6,63.2,26.35
10,2,21,46,133,10.5,68.7,67.7,69.4,23.92
10,3,12,57,131,6.0,82.6,91.7,72.7,9.2
10,4,11,59,130,5.5,84.3,93.3,77.5,9.06
10,5,24,42,134,12.0,63.6,65.5,62.2,23.58
20,1,7,61,132,3.5,89.7,96.8,83.8,4.61
20,2,6,62,132,3.0,91.2,93.1,89.7,4.74
20,3,9,54,137,4.5,85.7,92.9,80.0,6.85
20,4,7,69,124,3.5,90.8,96.7,87.0,3.75
20,5,8,57,135,4.0,87.7,96.4,81.1,5.34
50,1,9,43,148,4.5,82.7,89.5,78.8,10.55
50,2,5,47,148,2.5,90.4,94.7,87.9,4.56
50,3,5,46,149,2.5,90.2,95.7,85.7,8.29
50,4,3,42,155,1.5,93.3,100.0,89.3,3.68
50,5,6,45,149,3.0,88.2,90.9,86.2,7.7
100,1,5,45,150,2.5,90.0,95.0,86.7,5.16
100,2,5,40,155,2.5,88.9,85.0,92.0,8.99
100,3,5,40,155,2.5,88.9,88.9,88.9,6.75
100,4,4,43,153,2.0,91.5,95.0,88.9,4.54
100,5,5,41,154,2.5,89.1,95.0,84.6,5.22
