gateway,run,agents,success,partial,all_rejected,error,cascade_agents,cascade_steps,success_rate,abd_total,eff_gps,agent_tokens,backend_tokens,p50_ms,p95_ms,elapsed_s
ng,1,200,191,9,0,0,9,25,95.5,4.5,0.4,1045030,13677,36697.0,78406.0,2057.3
ng,2,200,188,11,1,0,12,36,94.0,5.5,0.39,1064643,13270,40423.0,83744.0,2121.5
ng,3,200,186,13,1,0,14,46,93.0,6.5,0.38,1080252,15021,42480.0,84957.0,2247.6
ng,4,200,190,9,1,0,10,34,95.0,4.5,0.41,1064143,13512,37281.0,79940.0,2090.0
ng,5,200,185,13,2,0,15,33,92.5,6.6,0.4,1048895,12808,37562.0,75390.0,2073.2
rajomon,1,200,187,13,0,0,13,38,93.5,6.5,0.39,1064439,14883,40334.0,75594.0,2124.4
rajomon,2,200,190,8,2,0,10,32,95.0,4.0,0.42,1064626,14281,38711.0,73382.0,2043.3
rajomon,3,200,185,14,1,0,15,46,92.5,7.0,0.39,1041504,12252,35080.0,69917.0,2049.6
rajomon,4,200,189,8,3,0,11,28,94.5,4.1,0.41,1047940,14525,37810.0,71992.0,2029.1
rajomon,5,200,189,7,4,0,11,19,94.5,3.6,0.39,1015184,13501,36553.0,74588.0,2058.5
pp,1,200,192,7,1,0,8,25,96.0,3.5,0.41,1040316,12503,35957.0,70154.0,1991.7
pp,2,200,190,10,0,0,10,31,95.0,5.0,0.41,1051558,12284,36854.0,72817.0,1999.7
pp,3,200,175,23,2,0,25,69,87.5,11.6,0.37,1049270,13455,36905.0,79354.0,2062.0
pp,4,200,189,10,1,0,11,32,94.5,5.0,0.41,1047671,13224,36435.0,79697.0,2021.9
pp,5,200,175,21,4,0,25,71,87.5,10.7,0.35,1057828,11546,38205.0,76319.0,2127.6
plangate_real,1,200,172,25,3,0,28,80,86.0,12.7,0.32,1052096,13851,43146.0,87867.0,2329.2
plangate_real,2,200,180,14,6,0,20,45,90.0,7.2,0.35,1042995,12289,39503.0,83371.0,2234.0
plangate_real,3,200,171,25,4,0,29,86,85.5,12.8,0.3,1075521,11674,41076.0,87185.0,2439.3
plangate_real,4,200,180,18,2,0,20,47,90.0,9.1,0.34,1040162,13545,42578.0,89670.0,2348.5
plangate_real,5,200,181,17,2,0,19,57,90.5,8.6,0.34,1050290,15491,42642.0,88685.0,2300.0
