label,policy,max_sessions,alpha,session_cap_wait,run_idx,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,jfi_steps,jfi_latency,csv,error
pg_ms20_wait1_a0.5,plangate,20,0.5,1,1,31,169,0,237.0,237.0,59.45,59.45,3.9,806.7,871.0,891.5,2194.0,2579.6,0.9132,0.6834,pg_ms20_wait1_a0.5_run1.csv,
pg_ms20_wait1_a0.5,plangate,20,0.5,1,2,26,174,0,271.0,271.0,50.95,50.95,3.8,864.5,1044.9,1954.4,3819.3,4221.7,0.905,0.7664,pg_ms20_wait1_a0.5_run2.csv,
pg_ms20_wait1_a0.5,plangate,20,0.5,1,3,30,170,0,345.0,345.0,54.66,54.66,5.2,977.6,1173.2,2272.3,4503.3,4690.1,0.9148,0.7947,pg_ms20_wait1_a0.5_run3.csv,
pg_ms30_wait1_a0.5,plangate,30,0.5,1,1,25,175,0,211.0,211.0,47.18,47.18,3.3,806.5,957.5,977.5,2585.4,3241.7,0.9247,0.7177,pg_ms30_wait1_a0.5_run1.csv,
pg_ms30_wait1_a0.5,plangate,30,0.5,1,2,31,169,0,312.0,312.0,56.2,56.2,4.1,1029.3,1330.1,1925.8,3958.4,3999.1,0.9214,0.8194,pg_ms30_wait1_a0.5_run2.csv,
pg_ms30_wait1_a0.5,plangate,30,0.5,1,3,14,186,0,159.0,159.0,42.95,42.95,3.2,806.4,811.3,1779.3,3554.8,3554.8,0.9135,0.7363,pg_ms30_wait1_a0.5_run3.csv,
pg_ms40_wait1_a0.5,plangate,40,0.5,1,1,36,164,0,362.0,362.0,58.51,58.51,5.1,831.4,1152.1,1697.8,3254.4,3393.2,0.9228,0.7329,pg_ms40_wait1_a0.5_run1.csv,
pg_ms40_wait1_a0.5,plangate,40,0.5,1,2,18,182,0,158.0,158.0,39.92,39.92,3.1,805.9,811.0,1019.5,2807.3,2807.3,0.9201,0.6714,pg_ms40_wait1_a0.5_run2.csv,
pg_ms40_wait1_a0.5,plangate,40,0.5,1,3,42,158,0,429.0,429.0,57.1,57.1,142.5,1349.5,1549.6,2826.4,5047.4,5793.8,0.921,0.8606,pg_ms40_wait1_a0.5_run3.csv,
pg_ms60_wait3_a0.5,plangate,60,0.5,3,1,27,173,0,280.0,280.0,54.96,54.96,3.7,808.6,956.9,1719.1,2896.2,3773.3,0.9057,0.7759,pg_ms60_wait3_a0.5_run1.csv,
pg_ms60_wait3_a0.5,plangate,60,0.5,3,2,31,169,0,361.0,361.0,60.42,60.42,6.0,1062.3,1257.5,2670.3,4370.2,5080.1,0.9293,0.8422,pg_ms60_wait3_a0.5_run2.csv,
pg_ms60_wait3_a0.5,plangate,60,0.5,3,3,31,169,0,227.0,227.0,58.31,58.31,3.6,806.6,946.3,824.0,2750.8,3192.4,0.9211,0.587,pg_ms60_wait3_a0.5_run3.csv,
pg_ms80_wait1_a0.5,plangate,80,0.5,1,1,35,165,0,374.0,374.0,63.94,63.94,7.1,1202.5,1520.2,2899.6,4748.6,5346.7,0.9106,0.8462,pg_ms80_wait1_a0.5_run1.csv,
pg_ms80_wait1_a0.5,plangate,80,0.5,1,2,38,162,0,387.0,387.0,54.95,54.95,30.6,1205.2,1377.9,2726.4,4552.6,5420.8,0.9212,0.8521,pg_ms80_wait1_a0.5_run2.csv,
pg_ms80_wait1_a0.5,plangate,80,0.5,1,3,40,160,0,311.0,311.0,56.49,56.49,5.1,806.9,866.9,907.2,2701.2,2930.4,0.9195,0.6183,pg_ms80_wait1_a0.5_run3.csv,
ng,ng,,,,1,15,148,37,291.0,158.0,40.47,21.97,1015.1,1928.1,2011.2,3800.2,5586.8,5586.8,0.9228,0.9088,ng_run1.csv,
ng,ng,,,,2,19,145,36,326.0,191.0,40.0,23.43,1015.8,1688.5,1999.1,3916.4,6485.5,6485.5,0.9137,0.8947,ng_run2.csv,
ng,ng,,,,3,18,142,40,324.0,187.0,39.83,22.99,1015.6,1666.6,2008.2,3964.2,5768.2,5768.2,0.9257,0.9163,ng_run3.csv,
sbac,sbac,150,,,1,14,154,32,274.0,159.0,40.46,23.48,1013.7,1880.0,2011.2,3966.0,6228.5,6228.5,0.9187,0.8995,sbac_run1.csv,
sbac,sbac,150,,,2,18,154,28,298.0,203.0,41.59,28.33,1010.8,1606.2,2004.4,4038.2,5895.7,5895.7,0.9146,0.9192,sbac_run2.csv,
sbac,sbac,150,,,3,19,149,32,329.0,224.0,43.45,29.59,1014.4,1644.6,2003.5,4715.5,5714.9,5714.9,0.9204,0.9325,sbac_run3.csv,
rajomon,rajomon,,,,1,1,143,56,176.0,7.0,34.2,1.36,1014.3,1881.3,2014.6,826.5,826.5,826.5,,,rajomon_run1.csv,
rajomon,rajomon,,,,2,1,139,60,182.0,7.0,35.7,1.37,1013.8,1706.2,2014.7,826.0,826.0,826.0,,,rajomon_run2.csv,
rajomon,rajomon,,,,3,1,146,53,176.0,7.0,37.74,1.5,1015.4,1687.5,2001.4,825.6,825.6,825.6,,,rajomon_run3.csv,
