policy,failure_rate,sessions,success_rate,recovery_success_rate,amendment_accept_rate,amendment_reject_rate,v2_commitment_issued,false_accept,executed_after_rejected_amendment,avg_total_tool_calls,avg_saved_steps,p95_latency_ms
naive_retry,0.1,100,1.0,0.0,0.0,0.0,0,0,0,5.3,0.0,184.44185
naive_retry,0.2,100,1.0,0.0,0.0,0.0,0,0,0,5.6,0.0,196.6319
naive_retry,0.3,100,1.0,0.0,0.0,0.0,0,0,0,5.9,0.0,192.9201
plangate_ar,0.1,100,1.0,1.0,1.0,0.0,10,0,0,5.1,0.2,998.13825
plangate_ar,0.2,100,1.0,1.0,1.0,0.0,20,0,0,5.2,0.4,1128.99285
plangate_ar,0.3,100,1.0,1.0,1.0,0.0,30,0,0,5.3,0.6,1158.4243
plangate_r,0.1,100,1.0,1.0,0.0,0.0,0,0,0,5.1,0.2,907.17815
plangate_r,0.2,100,1.0,1.0,0.0,0.0,0,0,0,5.2,0.4,1111.55425
plangate_r,0.3,100,1.0,1.0,0.0,0.0,0,0,0,5.3,0.6,1164.65045
