gateway,run,agents,success,partial,all_rejected,error,cascade_agents,cascade_steps,success_rate,abd_total,eff_gps,agent_tokens,backend_tokens,p50_ms,p95_ms,elapsed_s,client_rc,client_timed_out,client_log
ng,1,200,198,2,0,0,2,11,99.0,1.0,0.47,1040070,12784,28824.0,60146.0,1851.6,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_ng_week5.log
ng,2,200,197,3,0,0,3,17,98.5,1.5,0.46,1044111,12616,28072.0,63450.0,1853.8,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_ng_week5.log
ng,3,200,192,8,0,0,8,26,96.0,4.0,0.44,1057380,15401,31643.0,65088.0,1945.4,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_ng_week5.log
rajomon,1,200,191,8,1,0,9,36,95.5,4.0,0.44,1034432,12615,28462.0,61412.0,1883.9,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_rajomon_week5.log
rajomon,2,200,194,6,0,0,6,24,97.0,3.0,0.45,1028565,12302,29492.0,65851.0,1837.9,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_rajomon_week5.log
rajomon,3,200,193,7,0,0,7,31,96.5,3.5,0.46,1069091,15113,30625.0,63947.0,1865.3,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_rajomon_week5.log
pp,1,200,193,6,1,0,7,19,96.5,3.0,0.45,1055557,13836,30771.0,65487.0,1920.6,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_pp_week5.log
pp,2,200,188,10,2,0,12,41,94.0,5.1,0.44,1072126,13853,30014.0,69880.0,1947.4,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_pp_week5.log
pp,3,200,186,14,0,0,14,51,93.0,7.0,0.39,1056458,14897,31002.0,67543.0,2088.7,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_pp_week5.log
plangate_real,1,200,190,9,1,0,10,45,95.0,4.5,0.42,1041088,14882,32854.0,64773.0,1998.6,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_plangate_real_week5.log
plangate_real,2,200,189,9,2,0,11,33,94.5,4.5,0.44,1039596,14673,30890.0,63806.0,1908.9,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_plangate_real_week5.log
plangate_real,3,200,196,4,0,0,4,15,98.0,2.0,0.42,1042436,15428,34454.0,72703.0,2060.5,0,0,D:\mcp版本备份\mcp-governance-main - A\results\log\real_llm\_client_plangate_real_week5.log
