failure_rate,amendment_rate,gateway,runs,success_mean,partial_mean,all_rejected_mean,cascade_failed_mean,effective_goodput_s_mean,recovery_attempts_mean,recovery_success_mean,amendment_attempts_mean,amendment_success_mean,commitment_issued_mean,v2_commitment_issued_mean,commitment_required_mean,error_count,timeout_count
0.1,0.1,plangate_full,3,184.6667,15.3333,0.0,15.3333,9.8607,33.0,17.6667,2.0,2.0,186.6667,2.0,1.0,0,0
0.1,0.1,wo_amendment,3,188.3333,9.6667,2.0,11.6667,10.3371,28.0,16.3333,2.0,0.0,192.0,0.0,1.0,0,0
0.1,0.1,wo_commitment,3,187.3333,10.6667,2.0,12.6667,10.3019,27.0,14.3333,0.0,0.0,0.0,0.0,0.0,0,0
0.1,0.1,wo_recovery,3,170.3333,27.6667,2.0,29.6667,30.7364,29.6667,0.0,2.0,0.0,190.6667,0.0,1.0,0,0
0.1,0.2,plangate_full,3,191.6667,8.0,0.3333,8.3333,10.5386,27.6667,19.3333,4.0,3.6667,192.0,3.6667,1.0,0,0
0.1,0.2,wo_amendment,3,179.0,17.0,4.0,21.0,9.8167,33.3333,12.3333,4.0,0.0,186.3333,0.0,1.0,0,0
0.1,0.2,wo_commitment,3,176.0,20.0,4.0,24.0,9.6382,38.6667,14.6667,0.0,0.0,0.0,0.0,0.0,0,0
0.1,0.2,wo_recovery,3,148.6667,47.3333,4.0,51.3333,28.1144,51.3333,0.0,4.0,0.0,169.0,0.0,1.0,0,0
0.2,0.1,plangate_full,3,188.6667,11.0,0.3333,11.3333,10.413,47.6667,36.3333,4.0,3.6667,191.0,3.6667,1.0,0,0
0.2,0.1,wo_amendment,3,184.6667,11.3333,4.0,15.3333,10.1239,49.0,33.6667,4.0,0.0,191.0,0.0,1.0,0,0
0.2,0.1,wo_commitment,3,184.0,12.0,4.0,16.0,10.0874,46.6667,30.6667,0.0,0.0,0.0,0.0,0.0,0,0
0.2,0.1,wo_recovery,3,155.6667,40.3333,4.0,44.3333,30.9874,44.3333,0.0,4.0,0.0,193.0,0.0,1.0,0,0
0.2,0.2,plangate_full,3,191.6667,7.3333,1.0,8.3333,10.5956,44.3333,36.0,8.0,7.0,195.6667,7.0,1.0,0,0
0.2,0.2,wo_amendment,3,181.0,11.0,8.0,19.0,9.9085,48.6667,29.6667,8.0,0.0,191.3333,0.0,1.0,0,0
0.2,0.2,wo_commitment,3,178.3333,13.6667,8.0,21.6667,9.8353,50.6667,29.0,0.0,0.0,0.0,0.0,0.0,0,0
0.2,0.2,wo_recovery,3,137.6667,54.3333,8.0,62.3333,27.123,62.3333,0.0,8.0,0.0,176.3333,0.0,1.0,0,0
0.3,0.1,plangate_full,3,188.0,10.6667,1.3333,12.0,10.3184,60.0,48.0,6.0,4.6667,195.6667,4.6667,1.0,0,0
0.3,0.1,wo_amendment,3,182.0,12.0,6.0,18.0,9.9823,64.6667,46.6667,6.0,0.0,193.6667,0.0,1.0,0,0
0.3,0.1,wo_commitment,3,182.0,12.0,6.0,18.0,10.0359,64.3333,46.3333,0.0,0.0,0.0,0.0,0.0,0,0
0.3,0.1,wo_recovery,3,140.0,54.0,6.0,60.0,25.2842,60.0,0.0,5.6667,0.0,196.0,0.0,1.0,0,0
0.3,0.2,plangate_full,3,191.0,9.0,0.0,9.0,10.4423,60.0,51.0,12.0,12.0,193.3333,12.0,1.0,0,0
0.3,0.2,wo_amendment,3,175.3333,12.6667,12.0,24.6667,9.6426,67.0,42.3333,12.0,0.0,193.0,0.0,1.0,0,0
0.3,0.2,wo_commitment,3,178.6667,9.3333,12.0,21.3333,9.8145,66.6667,45.3333,0.0,0.0,0.0,0.0,0.0,0,0
0.3,0.2,wo_recovery,3,131.3333,56.6667,12.0,68.6667,25.5332,68.6667,0.0,11.6667,0.0,187.0,0.0,1.0,0,0
