"gateway","run","success","partial","all_rejected","error","abd_total","success_rate","cascade_agents","cascade_steps","eff_gps","p50_ms","p95_ms","http_429_count","client_rc","client_timed_out","csv"
"ng","1","19","48","13","0","71.6","23.8","61","126","0.1","87109.0","204405.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\ng\run1\steps.csv"
"ng","2","31","41","8","0","56.9","38.8","49","133","0.28","103241.0","237596.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\ng\run2\steps.csv"
"ng","3","8","58","14","0","87.9","10.0","72","139","0.06","98619.0","174673.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\ng\run3\steps.csv"
"static","1","17","50","13","0","74.6","21.2","63","147","0.1","65619.0","254680.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\static\run1\steps.csv"
"static","2","9","57","14","0","86.4","11.2","71","134","0.04","88553.0","181067.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\static\run2\steps.csv"
"static","3","13","54","13","0","80.6","16.2","67","131","0.06","87518.0","178057.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\static\run3\steps.csv"
"pp","1","10","48","22","0","82.8","12.5","70","109","0.06","109429.0","213963.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\pp\run1\steps.csv"
"pp","2","14","51","15","0","78.5","17.5","66","119","0.07","101434.0","172726.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\pp\run2\steps.csv"
"pp","3","17","49","14","0","74.2","21.2","63","123","0.08","110934.0","190775.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\pp\run3\steps.csv"
"rajomon","1","17","48","15","0","73.8","21.2","63","131","0.1","102544.0","173529.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\rajomon\run1\steps.csv"
"rajomon","2","15","55","10","0","78.6","18.8","65","124","0.08","102179.0","196502.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_6gw\rajomon\run2\steps.csv"
"rajomon","3","20","50","10","0","71.4","25.0","60","136","0.11","118563.0","243044.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_patch_rajomon_run3\rajomon\run1\steps.csv"
"plangate_relaxed","1","22","51","7","0","69.9","27.5","58","139","0.16","81968.0","163684.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_patch_plangate\plangate_relaxed\run1\steps.csv"
"plangate_relaxed","2","15","54","11","0","78.3","18.8","65","131","0.11","91642.0","270555.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_patch_plangate\plangate_relaxed\run2\steps.csv"
"plangate_relaxed","3","19","55","6","0","74.3","23.8","61","125","0.14","99262.0","233761.0","0","0","0","results\exp_selfhosted_vllm_stress_c16w8_relaxed_patch_plangate\plangate_relaxed\run3\steps.csv"
